iter	Passed	Remaining
0	0	91
1	1	80
2	2	74
3	2	66
4	3	65
5	4	64
6	4	63
7	5	62
8	6	61
9	6	60
10	7	59
11	8	60
12	8	59
13	9	59
14	10	58
15	10	57
16	11	56
17	12	56
18	13	55
19	13	54
20	14	53
21	14	52
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	21	44
33	22	43
34	23	43
35	24	42
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	28
57	38	27
58	38	27
59	39	26
60	40	26
61	41	25
62	42	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	22
68	47	21
69	48	20
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	65	5
92	66	4
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	71	0
99	71	0
